"book_id","book_title","author","genres","book_details","num_pages","cover_image_url"
"1","Harry Potter and the Half-Blood Prince","J.K. Rowling","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']","It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","652","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg"
"10","Harry Potter Collection","J.K. Rowling","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Classics', 'Adventure']","Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.","3342","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867351i/10.jpg"
"10000","The Face of Another","Kōbō Abe","['Fiction', 'Japanese Literature', 'Japan', 'Horror', 'Classics', 'Science Fiction', 'Literature']","Like an elegantly chilling postscript to The Metamorphosis, this classic of postwar Japanese literature describes a bizarre physical transformation that exposes the duplicities of an entire world. The narrator is a scientist hideously deformed in a laboratory accident–a man who has lost his face and, with it, his connection to other people. Even his wife is now repulsed by him. His only entry back into the world is to create a mask so perfect as to be undetectable. But soon he finds that such a mask is more than a disguise: it is an alternate self–a self that is capable of anything. A remorseless meditation on nature, identity and the social contract, The Face of Another is an intellectual horror story of the highest order.","238","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320415026i/10000.jpg"
"100022768","Magical Elements of the Periodic Table Presented Alphabetically by the Metal Horn Unicorns","Sybrina Durant","['Science', 'Childrens']","In this unique alphabet book, members of the Metal Horn Unicorn Tribe present 26 Magical Elements of the Periodic Table in alphabetical order.  Each member of the tribe has a metal horn and hooves. They also have magical powers based on the properties of their metals. Alumna starts out the book by introducing the very necessary metal, aluminum, on her element page. Dr. Zinko rounds out the alphabet by presenting facts and other fun information about the metal, zinc, on his element page.  Other members of the Metal Horn Tribe from Unimaise, plus some of their magical elemental friends, will give some great insight into the properties of 23 additional pure metals from the periodic table.  There is one special unicorn in the book whose horn and hooves are an alloy created by combining copper and zinc. Cornum, the Brass Horned unicorn will reveal some interesting things about that metal. While not all elements in the Periodic Table are represented by letters of the alphabet, some in this book, are introduced by alternate designations.  For instance, Tungsten is also known as Wolfram so “W” is used as the entry for that alphabetical letter in this book.  The letter “W” is also used as the atomic symbol for tungsten in all periodic tables. Each element page in this book contains terms that might not be completely familiar.  Refer to the definitions in the back of the book to get a clear understanding of each meaning.  There is also a fun unicorn themed Periodic Table at the back of the book.  The Metal Horn unicorns from Unimaise and their other techno-magical unicorn friends are the perfect group to introduce you to metals and other elements in the Periodic Table.  Hopefully the Magical Elements of this periodic table book will spark an interest in the magical and real world properties of all the metals and other elements known today.  You may be surprised at how prominently they feature in our every day lives.","45","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675614710i/100022768.jpg"
"10006","Oracle Night","Paul Auster","['Fiction', 'American', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'Mystery']","The discovery of a mysterious notebook turns a man's life upside-down in this compulsively readable novel by 'one of the great writers of our time' ( San Francisco Chronicle ).Several months into his recovery from a near-fatal illness, novelist Sidney Orr enters a stationery shop in Brooklyn and buys a blue notebook. It is September 18, 1982, and for the next nine days Orr will live under the spell of this blank book, trapped inside a world of eerie premonitions and bewildering events that threaten to destroy his marriage and undermine his faith in reality.Paul Auster's mesmerizing eleventh novel reads like an old-fashioned ghost story. But there are no ghosts in this book - only flesh-and-blood human beings, wandering through the haunted realms of everyday life. Oracle Night is a narrative tour de force that confirms Auster's reputation as one of the boldest, most original writers at work in America today.","245","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328287302i/10006.jpg"
"100065","As a Driven Leaf","Milton Steinberg","['Historical Fiction', 'Fiction', 'Jewish', 'Judaism', 'Judaica', 'Religion', 'Philosophy']","The age of the Talmud is brought to life in a breathtaking saga. This masterpiece of modern fiction tells the gripping tale of renegade talmudic sage Elisha ben Abuyah's struggle to reconcile his faith with the allure of Hellenistic culture. Set in Roman Palestine, As a Driven Leaf draws readers into the dramatic era of Rabbinic Judaism. Watch the great Talmudic sages at work in the Sanhedrin, eavesdrop on their arguments about theology and Torah, and agonize with them as they contemplate rebellion against an oppressive Roman rule. But Steinberg's classic novel also transcends its historical setting with its depiction of a timeless, perennial feature of the Jewish experience: the inevitable conflict between the call of tradition and the glamour of the surrounding culture. In his illuminating foreword, specially commissioned for this edition, Chaim Potok stresses the contemporary relevance of As a Driven Leaf: This novel of ideas and passions... retains its ability to enter the heart of pious and seeking Jew alike. Synagogues everywhere are adopting As a Driven Leaf for group study.","480","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347463821i/100065.jpg"
"1000751","Pollyanna","Eleanor H. Porter","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']","Pollyanna's eternal optimism has made her one of the most beloved characters in American literature. First published in 1913, her story spawned the formation of ""Glad"" clubs all over the country, devoted to playing Pollyanna's famous game. Pollyanna has since sold over one million copies, been translated into several languages, and has become both a Broadway play and a Disney motion picture.","304","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673585138i/1000751.jpg"
"10009","Homo Faber","Max Frisch","['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', 'Roman']","Walter Faber is an emotionally detached engineer forced by a string of coincidences to embark on a journey through his past.","214","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709271225i/10009.jpg"
"1001312","Parnassus on Wheels","Christopher  Morley","['Fiction', 'Books About Books', 'Classics', 'Historical Fiction', 'Humor', 'Novella', 'Adventure']","Roger Mifflin is part pixie, part sage, part noble savage, and all God's creature. With his traveling book wagon named Parnassus, he moves through the New England countryside of 1915 on an itinerant mission of enlightenment. Mifflin's delight in books and authors is infectious--with his singular philosophy and bright eyes, he comes to represent the heart and soul of the book world. But a certain spirited spinster, disgruntled with her life, may have a hand in changing all that. This roaring good adventure yarn is spiced with fiery roadside brawls, heroic escapes from death, the most groaning boards in the history of Yankee cookery, and a rare love story--not to mention a glimpse at a feminist perspective from the early 1900s.","152","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465495291i/1001312.jpg"
"10016013","Harry Potter and the Methods of Rationality","Eliezer Yudkowsky","['Fantasy', 'Fiction', 'Fan Fiction', 'Philosophy', 'Science Fiction', 'Young Adult', 'Humor']","Harry Potter and the Methods of Rationality is a work of alternate-universe Harry Potter fan-fiction wherein Petunia Evans has married an Oxford biochemistry professor and young genius Harry grows up fascinated by science and science fiction. When he finds out that he is a wizard, he tries to apply scientific principles to his study of magic, with sometimes surprising results.","2184","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659761696i/10016013.jpg"
